table_schema,table_name,ordinal_position,column_name,data_type,is_nullable,column_default
public,account_manager_clinics,1,id,uuid,NO,gen_random_uuid()
public,account_manager_clinics,2,account_manager_id,uuid,NO,null
public,account_manager_clinics,3,agent_id,uuid,NO,null
public,account_manager_clinics,4,commission_pct,numeric,NO,null
public,account_manager_clinics,5,created_at,timestamp with time zone,YES,now()
public,account_managers,1,id,uuid,NO,gen_random_uuid()
public,account_managers,2,first_name,text,NO,null
public,account_managers,3,last_name,text,NO,null
public,account_managers,4,email,text,NO,null
public,account_managers,5,phone,text,YES,null
public,account_managers,6,address,text,YES,null
public,account_managers,7,status,text,NO,'active'::text
public,account_managers,8,notes,text,YES,null
public,account_managers,9,created_at,timestamp with time zone,YES,now()
public,account_managers,10,am_code,text,NO,null
public,admin_users,1,auth_user_id,uuid,NO,null
public,agent_users,1,id,uuid,NO,gen_random_uuid()
public,agent_users,2,agent_id,uuid,YES,null
public,agent_users,3,auth_user_id,uuid,NO,null
public,agent_users,4,full_name,text,YES,null
public,agent_users,5,email,text,NO,null
public,agent_users,6,role,text,NO,'agent'::text
public,agent_users,7,status,text,NO,'active'::text
public,agent_users,8,created_at,timestamp with time zone,NO,now()
public,agent_users,9,permissions,jsonb,NO,'{}'::jsonb
public,agents,1,id,uuid,NO,gen_random_uuid()
public,agents,2,name,text,NO,null
public,agents,3,type,text,YES,null
public,agents,4,country,text,YES,null
public,agents,5,city,text,YES,null
public,agents,6,status,text,NO,'active'::text
public,agents,7,created_at,timestamp with time zone,NO,now()
public,agents,8,agent_code,character varying,YES,null
public,agents,9,default_lab_id,uuid,YES,null
public,bases,1,id,uuid,NO,gen_random_uuid()
public,bases,2,base_code,text,NO,null
public,bases,3,name,text,NO,null
public,bases,4,description,text,YES,null
public,bases,5,created_at,timestamp with time zone,NO,now()
public,bases,6,updated_at,timestamp with time zone,NO,now()
public,boosters,1,id,uuid,NO,gen_random_uuid()
public,boosters,2,booster_code,text,NO,null
public,boosters,3,name,text,NO,null
public,boosters,4,description,text,YES,null
public,boosters,5,created_at,timestamp with time zone,NO,now()
public,boosters,6,updated_at,timestamp with time zone,NO,now()
public,customer_code_counters,1,month_key,text,NO,null
public,customer_code_counters,2,last_seq,integer,NO,null
public,customer_month_counter,1,ym,text,NO,null
public,customer_month_counter,2,last_seq,integer,NO,null
public,customers,1,id,uuid,NO,gen_random_uuid()
public,customers,2,agent_id,uuid,NO,null
public,customers,3,first_name,text,NO,null
public,customers,4,last_name,text,NO,null
public,customers,5,email,text,YES,null
public,customers,6,phone,text,YES,null
public,customers,7,created_at,timestamp with time zone,NO,now()
public,customers,8,customer_code,text,YES,null
public,customers,9,date_of_birth,date,NO,null
public,customers,10,gender,text,NO,null
public,formula_items,1,id,uuid,NO,gen_random_uuid()
public,formula_items,2,formula_id,uuid,NO,null
public,formula_items,3,ingredient_id,uuid,NO,null
public,formula_items,4,pct,numeric,NO,0
public,formula_items,5,sort_order,integer,NO,0
public,formula_items,6,created_at,timestamp with time zone,NO,now()
public,formula_items,7,updated_at,timestamp with time zone,NO,now()
public,formulas,1,id,uuid,NO,gen_random_uuid()
public,formulas,2,code,text,NO,null
public,formulas,3,name,text,NO,null
public,formulas,4,type,USER-DEFINED,NO,null
public,formulas,5,notes,text,YES,null
public,formulas,6,created_at,timestamp with time zone,NO,now()
public,formulas,7,updated_at,timestamp with time zone,NO,now()
public,formulated_product_ingredients,1,id,uuid,NO,gen_random_uuid()
public,formulated_product_ingredients,2,product_id,uuid,NO,null
public,formulated_product_ingredients,3,ingredient_id,uuid,NO,null
public,formulated_product_ingredients,4,pct,numeric,NO,null
public,formulated_product_ingredients,5,sort_order,integer,NO,1
public,formulated_product_ingredients,6,created_at,timestamp with time zone,NO,now()
public,formulated_product_items,1,id,uuid,NO,gen_random_uuid()
public,formulated_product_items,2,formulated_product_id,uuid,NO,null
public,formulated_product_items,3,ingredient_id,uuid,NO,null
public,formulated_product_items,4,pct,numeric,NO,null
public,formulated_product_items,5,sort_order,integer,NO,0
public,formulated_product_items,6,phase,text,YES,null
public,formulated_product_items,7,created_at,timestamp with time zone,NO,now()
public,formulated_product_items,8,updated_at,timestamp with time zone,NO,now()
public,formulated_products,1,id,uuid,NO,gen_random_uuid()
public,formulated_products,2,code,text,NO,null
public,formulated_products,3,name,text,NO,null
public,formulated_products,4,type,text,NO,null
public,formulated_products,5,category,text,YES,null
public,formulated_products,6,notes,text,YES,null
public,formulated_products,7,is_active,boolean,NO,true
public,formulated_products,8,created_at,timestamp with time zone,NO,now()
public,formulated_products,9,updated_at,timestamp with time zone,NO,now()
public,formulated_products,10,product_code,text,YES,null
public,formulated_products,11,product_type_id,uuid,NO,null
public,ingredients,1,id,uuid,NO,gen_random_uuid()
public,ingredients,2,psi_number,text,NO,null
public,ingredients,3,inci_name,text,NO,null
public,ingredients,4,short_description,text,YES,null
public,ingredients,5,created_at,timestamp with time zone,NO,now()
public,labs,1,id,uuid,NO,gen_random_uuid()
public,labs,2,name,text,NO,null
public,labs,3,orders_email,text,NO,null
public,labs,4,admin_email,text,YES,null
public,labs,5,phone,text,YES,null
public,labs,6,address,text,YES,null
public,labs,7,shipping_address,text,YES,null
public,labs,8,created_at,timestamp with time zone,NO,now()
public,labs,9,updated_at,timestamp with time zone,NO,now()
public,labs,10,lab_code,text,YES,null
public,order_artifacts,1,id,uuid,NO,gen_random_uuid()
public,order_artifacts,2,order_id,uuid,NO,null
public,order_artifacts,3,artifact_type,text,NO,null
public,order_artifacts,4,format,text,NO,null
public,order_artifacts,5,version,integer,NO,1
public,order_artifacts,6,content_json,jsonb,YES,null
public,order_artifacts,7,storage_bucket,text,YES,null
