table_schema,table_name,constraint_name,constraint_type,column_name,foreign_table_name,foreign_column_name
public,account_manager_clinics,2200_29118_1_not_null,CHECK,null,null,null
public,account_manager_clinics,2200_29118_2_not_null,CHECK,null,null,null
public,account_manager_clinics,2200_29118_3_not_null,CHECK,null,null,null
public,account_manager_clinics,2200_29118_4_not_null,CHECK,null,null,null
public,account_manager_clinics,account_manager_clinics_commission_pct_check,CHECK,null,account_manager_clinics,commission_pct
public,account_manager_clinics,account_manager_clinics_account_manager_id_fkey,FOREIGN KEY,account_manager_id,account_managers,id
public,account_manager_clinics,account_manager_clinics_agent_id_fkey,FOREIGN KEY,agent_id,agents,id
public,account_manager_clinics,account_manager_clinics_pkey,PRIMARY KEY,id,account_manager_clinics,id
public,account_manager_clinics,account_manager_clinics_account_manager_id_agent_id_key,UNIQUE,account_manager_id,account_manager_clinics,account_manager_id
public,account_manager_clinics,account_manager_clinics_account_manager_id_agent_id_key,UNIQUE,account_manager_id,account_manager_clinics,agent_id
public,account_manager_clinics,account_manager_clinics_account_manager_id_agent_id_key,UNIQUE,agent_id,account_manager_clinics,account_manager_id
public,account_manager_clinics,account_manager_clinics_account_manager_id_agent_id_key,UNIQUE,agent_id,account_manager_clinics,agent_id
public,account_managers,2200_29106_10_not_null,CHECK,null,null,null
public,account_managers,2200_29106_1_not_null,CHECK,null,null,null
public,account_managers,2200_29106_2_not_null,CHECK,null,null,null
public,account_managers,2200_29106_3_not_null,CHECK,null,null,null
public,account_managers,2200_29106_4_not_null,CHECK,null,null,null
public,account_managers,2200_29106_7_not_null,CHECK,null,null,null
public,account_managers,account_managers_pkey,PRIMARY KEY,id,account_managers,id
public,account_managers,account_managers_email_key,UNIQUE,email,account_managers,email
public,admin_users,2200_29163_1_not_null,CHECK,null,null,null
public,admin_users,admin_users_pkey,PRIMARY KEY,auth_user_id,admin_users,auth_user_id
public,agent_users,2200_24142_1_not_null,CHECK,null,null,null
public,agent_users,2200_24142_3_not_null,CHECK,null,null,null
public,agent_users,2200_24142_5_not_null,CHECK,null,null,null
public,agent_users,2200_24142_6_not_null,CHECK,null,null,null
public,agent_users,2200_24142_7_not_null,CHECK,null,null,null
public,agent_users,2200_24142_8_not_null,CHECK,null,null,null
