table_schema,table_name,trigger_name,trigger_def
public,account_managers,trg_set_account_manager_code,CREATE TRIGGER trg_set_account_manager_code BEFORE INSERT ON account_managers FOR EACH ROW EXECUTE FUNCTION set_account_manager_code()
public,agent_users,trg_normalize_agent_user_email,CREATE TRIGGER trg_normalize_agent_user_email BEFORE INSERT OR UPDATE ON agent_users FOR EACH ROW EXECUTE FUNCTION normalize_agent_user_email()
public,agent_users,trg_prevent_last_active_admin,CREATE TRIGGER trg_prevent_last_active_admin BEFORE DELETE OR UPDATE ON agent_users FOR EACH ROW EXECUTE FUNCTION prevent_last_active_admin()
public,agents,trg_set_agent_code,CREATE TRIGGER trg_set_agent_code BEFORE INSERT ON agents FOR EACH ROW EXECUTE FUNCTION set_agent_code()
public,bases,set_bases_updated_at,CREATE TRIGGER set_bases_updated_at BEFORE UPDATE ON bases FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,boosters,set_boosters_updated_at,CREATE TRIGGER set_boosters_updated_at BEFORE UPDATE ON boosters FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,customers,trg_assign_customer_code,CREATE TRIGGER trg_assign_customer_code BEFORE INSERT ON customers FOR EACH ROW EXECUTE FUNCTION assign_customer_code()
public,customers,trg_set_customer_code,CREATE TRIGGER trg_set_customer_code BEFORE INSERT ON customers FOR EACH ROW EXECUTE FUNCTION set_customer_code()
public,formula_items,trg_touch_formula_items,CREATE TRIGGER trg_touch_formula_items BEFORE UPDATE ON formula_items FOR EACH ROW EXECUTE FUNCTION touch_updated_at()
public,formulas,trg_touch_formulas,CREATE TRIGGER trg_touch_formulas BEFORE UPDATE ON formulas FOR EACH ROW EXECUTE FUNCTION touch_updated_at()
public,formulated_product_items,trg_fpi_updated_at,CREATE TRIGGER trg_fpi_updated_at BEFORE UPDATE ON formulated_product_items FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,formulated_products,trg_fp_updated_at,CREATE TRIGGER trg_fp_updated_at BEFORE UPDATE ON formulated_products FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,formulated_products,trg_set_formulated_product_code,CREATE TRIGGER trg_set_formulated_product_code BEFORE INSERT ON formulated_products FOR EACH ROW EXECUTE FUNCTION set_formulated_product_code()
public,formulated_products,trg_set_product_code,CREATE TRIGGER trg_set_product_code BEFORE INSERT ON formulated_products FOR EACH ROW EXECUTE FUNCTION set_product_code()
public,formulated_products,trg_touch_formulated_products,CREATE TRIGGER trg_touch_formulated_products BEFORE UPDATE ON formulated_products FOR EACH ROW EXECUTE FUNCTION touch_updated_at()
public,labs,set_labs_lab_code,CREATE TRIGGER set_labs_lab_code BEFORE INSERT ON labs FOR EACH ROW EXECUTE FUNCTION set_lab_code()
public,labs,set_labs_updated_at,CREATE TRIGGER set_labs_updated_at BEFORE UPDATE ON labs FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,orders,trg_orders_apply_default_lab,CREATE TRIGGER trg_orders_apply_default_lab BEFORE INSERT OR UPDATE ON orders FOR EACH ROW EXECUTE FUNCTION orders_apply_default_lab()
public,orders,trg_orders_updated_at,CREATE TRIGGER trg_orders_updated_at BEFORE UPDATE ON orders FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,orders,trg_set_order_code,CREATE TRIGGER trg_set_order_code BEFORE INSERT ON orders FOR EACH ROW EXECUTE FUNCTION set_order_code()
public,product_types,trg_set_product_type_code,CREATE TRIGGER trg_set_product_type_code BEFORE INSERT ON product_types FOR EACH ROW EXECUTE FUNCTION set_product_type_code()
public,products,trg_products_updated_at,CREATE TRIGGER trg_products_updated_at BEFORE UPDATE ON products FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,products,trg_set_product_code,CREATE TRIGGER trg_set_product_code BEFORE INSERT ON products FOR EACH ROW EXECUTE FUNCTION set_product_code()
public,psi_ingredients,trg_touch_psi_ingredients,CREATE TRIGGER trg_touch_psi_ingredients BEFORE UPDATE ON psi_ingredients FOR EACH ROW EXECUTE FUNCTION touch_updated_at()
